transaction_date,expense_type,employee_id,cost_center,origin,destination,distance_km,class_of_service,hotel_nights,hotel_name,amount,currency,country
2024-01-08,Flight,EMP-1042,SALES-HYD,HYD,DEL,,Economy,,,8500,INR,IN
2024-01-09,Hotel,EMP-1042,SALES-HYD,,,,,2,Taj Vivanta New Delhi,12000,INR,IN
2024-01-10,Taxi,EMP-1042,SALES-HYD,,,,,,, 850,INR,IN
2024-01-15,Flight,EMP-2018,TECH-BLR,BLR,BOM,,Economy,,,6200,INR,IN
2024-01-15,Hotel,EMP-2018,TECH-BLR,,,,,1,Trident BKC Mumbai,8500,INR,IN
2024-01-16,Flight,EMP-2018,TECH-BLR,BOM,BLR,,Economy,,,6200,INR,IN
2024-01-22,Flight,EMP-3301,EXEC-HYD,HYD,LHR,,Business,,,185000,INR,IN
2024-01-24,Hotel,EMP-3301,EXEC-HYD,,,,,3,The Savoy London,78000,INR,GB
2024-01-25,Taxi,EMP-3301,EXEC-HYD,,,45,,,, 4200,INR,GB
2024-01-27,Flight,EMP-3301,EXEC-HYD,LHR,HYD,,Business,,,185000,INR,IN
2024-02-05,Flight,EMP-1042,SALES-HYD,HYD,BLR,,Economy,,,4800,INR,IN
2024-02-05,Hotel,EMP-1042,SALES-HYD,,,,,1,Marriott Whitefield,6500,INR,IN
2024-02-06,Flight,EMP-1042,SALES-HYD,BLR,HYD,,Economy,,,4800,INR,IN
2024-02-12,Train,EMP-4455,OPS-HYD,HYD,MAA,625,,,,1200,INR,IN
2024-02-19,Flight,EMP-5522,HR-BLR,BLR,DEL,,Economy,,,9200,INR,IN
2024-02-20,Hotel,EMP-5522,HR-BLR,,,,,2,Novotel Aerocity,14000,INR,IN
2024-02-21,Taxi,EMP-5522,HR-BLR,,,35,,,, 650,INR,IN
2024-02-22,Flight,EMP-5522,HR-BLR,DEL,BLR,,Economy,,,9200,INR,IN
2024-03-04,Flight,EMP-2018,TECH-BLR,BLR,SIN,,Economy,,,38000,INR,IN
2024-03-05,Hotel,EMP-2018,TECH-BLR,,,,,3,Marina Bay Sands,95000,INR,SG
2024-03-08,Flight,EMP-2018,TECH-BLR,SIN,BLR,,Economy,,,38000,INR,IN
2024-03-11,Taxi,EMP-1042,SALES-HYD,,,28,,,, 520,INR,IN
2024-03-18,Flight,EMP-3301,EXEC-HYD,HYD,DXB,,Business,,,92000,INR,IN
2024-03-19,Hotel,EMP-3301,EXEC-HYD,,,,,2,Atlantis The Palm,62000,INR,AE
2024-03-21,Flight,EMP-3301,EXEC-HYD,DXB,HYD,,Business,,,92000,INR,IN
2024-04-02,Flight,EMP-6611,FIN-HYD,HYD,CCU,,Economy,,,11500,INR,IN
2024-04-02,Hotel,EMP-6611,FIN-HYD,,,,,1,ITC Sonar,8200,INR,IN
2024-04-03,Flight,EMP-6611,FIN-HYD,CCU,HYD,,Economy,,,11500,INR,IN
2024-04-10,Car Rental,EMP-4455,OPS-HYD,,,180,,,, 3200,INR,IN
2024-04-22,Flight,EMP-2018,TECH-BLR,BLR,NRT,,Economy,,,125000,INR,IN
2024-04-23,Hotel,EMP-2018,TECH-BLR,,,,,4,Park Hyatt Tokyo,180000,INR,JP
2024-04-27,Flight,EMP-2018,TECH-BLR,NRT,BLR,,Economy,,,125000,INR,IN
