meter_id,site_name,billing_period_start,billing_period_end,kwh_consumed,peak_kwh,offpeak_kwh,demand_kw,tariff_code,amount,currency,country
MTR-HYD-001,Hyderabad Office Block A,15/12/2023,18/01/2024,42580,28340,14240,185.4,HT-2A,297060,INR,IN
MTR-HYD-002,Hyderabad Office Block B,15/12/2023,18/01/2024,31200,20800,10400,142.0,HT-2A,218400,INR,IN
MTR-HYD-003,Hyderabad Manufacturing Unit,15/12/2023,18/01/2024,128400,85600,42800,520.0,HT-4,898800,INR,IN
MTR-BLR-001,Bangalore R&D Center,18/12/2023,20/01/2024,58900,39200,19700,248.5,HT-2B,412300,INR,IN
MTR-BLR-002,Bangalore Warehouse,18/12/2023,20/01/2024,22400,14900,7500,98.0,LT-5,156800,INR,IN
MTR-HYD-001,Hyderabad Office Block A,18/01/2024,19/02/2024,39870,26580,13290,172.0,HT-2A,279090,INR,IN
MTR-HYD-002,Hyderabad Office Block B,18/01/2024,19/02/2024,29100,19400,9700,135.0,HT-2A,203700,INR,IN
MTR-HYD-003,Hyderabad Manufacturing Unit,18/01/2024,19/02/2024,124800,83200,41600,508.0,HT-4,873600,INR,IN
MTR-BLR-001,Bangalore R&D Center,20/01/2024,21/02/2024,61200,40800,20400,252.0,HT-2B,428400,INR,IN
MTR-BLR-002,Bangalore Warehouse,20/01/2024,21/02/2024,24100,16100,8000,102.5,LT-5,168700,INR,IN
MTR-HYD-001,Hyderabad Office Block A,19/02/2024,21/03/2024,44200,29400,14800,180.0,HT-2A,309400,INR,IN
MTR-HYD-002,Hyderabad Office Block B,19/02/2024,21/03/2024,33600,22400,11200,148.0,HT-2A,235200,INR,IN
MTR-HYD-003,Hyderabad Manufacturing Unit,19/02/2024,21/03/2024,132100,88000,44100,545.0,HT-4,924700,INR,IN
MTR-BLR-001,Bangalore R&D Center,21/02/2024,22/03/2024,65400,43600,21800,268.0,HT-2B,457800,INR,IN
MTR-BLR-002,Bangalore Warehouse,21/02/2024,22/03/2024,26300,17500,8800,112.0,LT-5,184100,INR,IN
MTR-MUM-001,Mumbai Sales Office,01/01/2024,31/01/2024,18500,12300,6200,82.5,LT-2,129500,INR,IN
MTR-MUM-001,Mumbai Sales Office,01/02/2024,29/02/2024,17200,11500,5700,78.0,LT-2,120400,INR,IN
MTR-MUM-001,Mumbai Sales Office,01/03/2024,31/03/2024,19800,13200,6600,88.0,LT-2,138600,INR,IN
